City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,71.22,broken clouds,-23.1203,-134.9692,People ThankYou
3,Butaritari,KI,81.93,few clouds,3.0707,172.7902,Isles Sunset Lodge
6,Santa Cruz,BO,84.25,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
7,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
13,Marrakesh,MA,84.27,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
15,Sola,VU,80.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
17,Nkhotakota,MW,83.84,scattered clouds,-12.9274,34.2961,Sitima Inn
19,Labuhan,ID,82.47,broken clouds,-6.8844,112.2051,DoubleFAG
20,Cabo San Lucas,MX,82.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
24,Jamestown,US,71.51,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Vila,PT,79.68,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
27,Marawi,PH,70.03,light rain,7.9986,124.2928,Derogongan Residence
34,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
37,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
38,Udayagiri,IN,72.86,moderate rain,20.1333,84.3833,Hotel Disha
41,Axim,GH,80.17,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
42,Bedele,ET,71.04,few clouds,8.456,36.353,Central Hotel
43,Bethel,US,70.65,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
45,Yining,CN,73.6,scattered clouds,29.0361,114.5636,Xiushui Hotel
53,Tripoli,LY,84.72,clear sky,32.8752,13.1875,Al Waddan Hotel
58,Mogadishu,SO,82.27,scattered clouds,2.0371,45.3438,Hotel Juba
59,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
61,Balabac,PH,81.79,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
62,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le four à pain
66,Atuona,PF,76.78,overcast clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
68,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
70,Vaini,TO,73.56,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
72,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
73,Isangel,VU,74.34,few clouds,-19.55,169.2667,Tanna Lodge
74,Zemio,CF,77.54,moderate rain,5.0314,25.1361,OCHA Office
77,Cururupu,BR,81.97,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
