City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Eureka,US,2022-09-10 22:30:31,40.8021,-124.1637,83.19,74,79,3.0
1,Longyearbyen,SJ,2022-09-10 22:30:32,78.2186,15.6401,33.64,64,75,11.5
2,Zheleznodorozhnyy,RU,2022-09-10 22:25:56,55.7503,38.0042,45.21,60,32,3.49
3,Mana,GF,2022-09-10 22:30:32,5.6592,-53.7767,80.26,79,87,9.17
4,Cabra,ES,2022-09-10 22:30:29,37.4725,-4.4421,76.41,40,23,3.58
5,Hobart,AU,2022-09-10 22:27:04,-42.8794,147.3294,51.66,75,75,6.91
6,Punta Arenas,CL,2022-09-10 22:29:50,-53.15,-70.9167,46.51,61,0,13.8
7,Dikson,RU,2022-09-10 22:30:33,73.5069,80.5464,36.32,77,99,8.12
8,Severo-Kurilsk,RU,2022-09-10 22:30:33,50.6789,156.125,56.8,73,11,12.59
9,Dunedin,NZ,2022-09-10 22:30:34,-45.8742,170.5036,52.81,75,29,3.0
10,Hofn,IS,2022-09-10 22:30:34,64.2539,-15.2082,51.51,93,100,13.89
11,Iquique,CL,2022-09-10 22:27:37,-20.2208,-70.1431,60.84,77,30,6.58
12,Hilo,US,2022-09-10 22:30:35,19.7297,-155.09,86.25,71,40,7.0
13,Cape Town,ZA,2022-09-10 22:27:38,-33.9258,18.4232,56.26,91,22,1.99
14,Port Hardy,CA,2022-09-10 22:30:35,50.6996,-127.4199,57.38,88,20,4.61
15,Teya,RU,2022-09-10 22:30:36,60.3778,92.6267,43.93,97,100,3.29
16,Ribeira Grande,PT,2022-09-10 22:30:36,38.5167,-28.7,73.0,72,100,26.66
17,Bambous Virieux,MU,2022-09-10 22:30:37,-20.3428,57.7575,70.05,73,75,6.91
18,Sena Madureira,BR,2022-09-10 22:30:37,-9.0656,-68.6569,86.79,47,70,2.77
19,Enid,US,2022-09-10 22:28:58,36.3956,-97.8784,69.96,68,40,19.57
20,Portland,US,2022-09-10 22:28:01,45.5234,-122.6762,96.46,13,100,17.27
21,Constitucion,CL,2022-09-10 22:30:38,-35.3333,-72.4167,48.99,78,0,2.39
22,Asyut,EG,2022-09-10 22:30:39,27.181,31.1837,81.23,34,0,13.44
23,Hermanus,ZA,2022-09-10 22:30:39,-34.4187,19.2345,54.81,83,4,12.62
24,Tabas,IR,2022-09-10 22:30:39,33.5959,56.9244,81.03,21,0,0.85
25,Tuktoyaktuk,CA,2022-09-10 22:30:40,69.4541,-133.0374,41.0,81,100,10.36
26,Kodiak,US,2022-09-10 22:30:40,57.79,-152.4072,54.91,76,100,4.61
27,Talnakh,RU,2022-09-10 22:30:41,69.4865,88.3972,36.21,99,100,9.28
28,Olafsvik,IS,2022-09-10 22:30:41,64.8945,-23.7142,49.17,84,69,15.75
29,Qaanaaq,GL,2022-09-10 22:30:42,77.484,-69.3632,36.88,98,100,8.37
30,Breytovo,RU,2022-09-10 22:30:42,58.2993,37.8617,45.09,74,22,5.21
31,Tiksi,RU,2022-09-10 22:30:42,71.6872,128.8694,37.99,88,100,7.9
32,Lazaro Cardenas,MX,2022-09-10 22:27:12,17.9583,-102.2,83.86,78,100,13.02
33,Yellowknife,CA,2022-09-10 22:30:43,62.456,-114.3525,61.32,48,40,21.85
34,Mataura,NZ,2022-09-10 22:30:44,-46.1927,168.8643,51.91,56,4,3.47
35,Bredasdorp,ZA,2022-09-10 22:30:44,-34.5322,20.0403,54.37,77,0,11.99
36,Port Jervis,US,2022-09-10 22:30:44,41.3751,-74.6927,80.15,66,61,4.81
37,Castro,BR,2022-09-10 22:30:45,-24.7911,-50.0119,61.52,98,3,6.6
38,Bluff,NZ,2022-09-10 22:30:45,-46.6,168.3333,47.19,72,3,3.6
39,Saldanha,ZA,2022-09-10 22:30:45,-33.0117,17.9442,51.85,88,27,6.55
40,Ambanja,MG,2022-09-10 22:30:46,-13.6833,48.45,69.85,87,79,2.51
41,Dehloran,IR,2022-09-10 22:30:46,32.6941,47.2679,92.01,12,0,9.08
42,Ushuaia,AR,2022-09-10 22:30:31,-54.8,-68.3,44.26,53,0,10.36
43,Pochutla,MX,2022-09-10 22:30:46,15.7432,-96.4661,84.81,66,85,6.93
44,Iqaluit,CA,2022-09-10 22:30:47,63.7506,-68.5145,40.73,93,75,9.22
45,Kenai,US,2022-09-10 22:30:47,60.5544,-151.2583,57.09,71,40,8.05
46,Namibe,AO,2022-09-10 22:30:47,-15.1961,12.1522,64.89,92,65,4.79
47,Narsaq,GL,2022-09-10 22:31:48,60.9167,-46.05,48.42,69,65,3.04
48,Hasaki,JP,2022-09-10 22:31:48,35.7333,140.8333,73.8,84,100,22.77
49,Hithadhoo,MV,2022-09-10 22:31:49,-0.6,73.0833,81.25,73,51,13.67
50,Carnarvon,AU,2022-09-10 22:31:49,-24.8667,113.6333,63.43,62,0,8.12
51,Saint Anthony,US,2022-09-10 22:30:24,45.0205,-93.218,73.29,44,0,12.66
